States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Bihar,,Total Pulses,1969-1970,1646.00,1108.00,673
Dadra & Nagar Haveli  ,,Total Pulses,1969-1970,1.00,1.00,1000
Delhi,,Total Pulses,1969-1970,9.00,6.00,667
Gujarat,,Total Pulses,1969-1970,415.00,130.00,312
Haryana,,Total Pulses,1969-1970,1160.00,1188.00,1024
Himachal Pradesh,,Total Pulses,1969-1970,57.00,21.00,375
Jammu & Kashmir,,Total Pulses,1969-1970,50.00,31.00,615
Karnataka,,Total Pulses,1969-1970,1157.00,402.00,347
Kerala,,Total Pulses,1969-1970,42.00,16.00,377
Madhya Pradesh,,Total Pulses,1969-1970,3876.00,1758.00,453
Maharashtra,,Total Pulses,1969-1970,2492.00,839.00,337
Odisha,,Total Pulses,1969-1970,814.00,399.00,491
Punjab,,Total Pulses,1969-1970,513.00,432.00,841
Rajasthan,,Total Pulses,1969-1970,3155.00,1105.00,350
Tamil Nadu,,Total Pulses,1969-1970,440.00,110.00,249
Tripura,,Total Pulses,1969-1970,3.00,1.00,333
Uttar Pradesh,,Total Pulses,1969-1970,3993.00,3344.00,838
West Bengal,,Total Pulses,1969-1970,744.00,503.00,676
India,,Total Pulses,1969-1970,22023.00,11691.00,531
Andhra Pradesh,,Total Pulses,1970-1971,1451.00,450.00,310
Assam,,Total Pulses,1970-1971,85.00,32.00,376
Bihar,,Total Pulses,1970-1971,1645.00,987.00,600
Dadra & Nagar Haveli  ,,Total Pulses,1970-1971,1.00,1.00,1000
Delhi,,Total Pulses,1970-1971,13.00,7.00,538
Gujarat,,Total Pulses,1970-1971,423.00,165.00,390
Haryana,,Total Pulses,1970-1971,1141.00,813.00,713
Himachal Pradesh,,Total Pulses,1970-1971,71.00,32.00,451
Jammu & Kashmir,,Total Pulses,1970-1971,47.00,30.00,638
Karnataka,,Total Pulses,1970-1971,1131.00,404.00,357
Kerala,,Total Pulses,1970-1971,40.00,14.00,350
Madhya Pradesh,,Total Pulses,1970-1971,4246.00,1992.00,469
Maharashtra,,Total Pulses,1970-1971,2491.00,776.00,312
Meghalaya,,Total Pulses,1970-1971,2.00,1.00,500
Odisha,,Total Pulses,1970-1971,845.00,467.00,553
Punjab,,Total Pulses,1970-1971,414.00,309.00,746
Rajasthan,,Total Pulses,1970-1971,3616.00,1777.00,491
Tamil Nadu,,Total Pulses,1970-1971,482.00,116.00,241
Tripura,,Total Pulses,1970-1971,3.00,1.00,333
Uttar Pradesh,,Total Pulses,1970-1971,3725.00,3069.00,824
West Bengal,,Total Pulses,1970-1971,665.00,375.00,564
India,,Total Pulses,1970-1971,22534.00,11818.00,524
Andhra Pradesh,,Total Pulses,1971-1972,1343.00,380.00,283
Assam,,Total Pulses,1971-1972,86.00,31.00,358
Bihar,,Total Pulses,1971-1972,1544.00,889.00,576
Dadra & Nagar Haveli  ,,Total Pulses,1971-1972,2.00,1.00,500
Delhi,,Total Pulses,1971-1972,13.00,8.00,615
Gujarat,,Total Pulses,1971-1972,429.00,161.00,376
Haryana,,Total Pulses,1971-1972,1208.00,684.00,566
Himachal Pradesh,,Total Pulses,1971-1972,68.00,29.00,425
Jammu & Kashmir,,Total Pulses,1971-1972,50.00,29.00,583
Karnataka,,Total Pulses,1971-1972,1359.00,466.00,343
Kerala,,Total Pulses,1971-1972,38.00,13.00,347
Madhya Pradesh,,Total Pulses,1971-1972,4328.00,2353.00,544
