States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Karnataka,Kharif,Moong,2004-2005,518.00,82.00,158
Madhya Pradesh,Kharif,Moong,2004-2005,86.00,28.00,326
Maharashtra,Kharif,Moong,2004-2005,656.00,228.00,348
Odisha,Kharif,Moong,2004-2005,116.00,22.00,192
Punjab,Kharif,Moong,2004-2005,15.00,12.00,800
Rajasthan,Kharif,Moong,2004-2005,755.00,205.00,272
Tamil Nadu,Kharif,Moong,2004-2005,34.00,16.00,484
Tripura,Kharif,Moong,2004-2005,1.00,1.00,1000
Uttar Pradesh,Kharif,Moong,2004-2005,32.00,9.00,276
West Bengal,Kharif,Moong,2004-2005,1.00,0.00,429
India,Kharif,Moong,2004-2005,2752.00,810.00,295
Andhra Pradesh,Rabi,Moong,2004-2005,150.00,49.00,327
Assam,Rabi,Moong,2004-2005,8.00,4.00,507
Bihar,Rabi,Moong,2004-2005,175.00,97.00,552
Chhattisgarh,Rabi,Moong,2004-2005,7.00,1.00,209
Gujarat,Rabi,Moong,2004-2005,4.00,2.00,405
Karnataka,Rabi,Moong,2004-2005,5.00,2.00,400
Madhya Pradesh,Rabi,Moong,2004-2005,2.00,1.00,250
Maharashtra,Rabi,Moong,2004-2005,8.00,2.00,250
Odisha,Rabi,Moong,2004-2005,79.00,21.00,269
Puducherry,Rabi,Moong,2004-2005,2.00,1.00,263
Tamil Nadu,Rabi,Moong,2004-2005,89.00,37.00,416
Uttar Pradesh,Rabi,Moong,2004-2005,54.00,29.00,536
West Bengal,Rabi,Moong,2004-2005,11.00,4.00,373
India,Rabi,Moong,2004-2005,590.00,247.00,420
Andhra Pradesh,Total,Moong,2004-2005,454.00,160.00,351
Assam,Total,Moong,2004-2005,8.00,4.00,507
